Törley,60,80,Mousserande vin,11.50%,750,Vitt Halvtorrt,144
Törley,60,80,Mousserande vin,11.50%,750,Rosé,144
Pata Negra,60,80,Mousserande vin,11.50%,750,Vitt Torrt,144
Pol Rémy,58,77.33,Mousserande vin,11.00%,750,Vitt Torrt,142
Chapel Hill,68,90.67,Mousserande vin,12.50%,750,Vitt Torrt,138
Chapel Hill,68,90.67,Mousserande vin,12.00%,750,Rosé,132
Platino,40,53.33,Mousserande vin,7.00%,750,Vitt Sött,131
Wild Strawberry Sparkling,70,93.33,Mousserande vin,12.00%,750,Övrigt,129
Chapel Hill,146,97.33,Mousserande vin,12.50%,1500,Vitt Torrt,128
Pata Negra,70,93.33,Mousserande vin,11.50%,750,Rosé,123
El Miracle,70,93.33,Mousserande vin,11.50%,750,Vitt Torrt,123
Charles de Fère,70,93.33,Mousserande vin,11.50%,750,Vitt Torrt,123
Pizzolato Spumante d'Italia Bianco,70,93.33,Mousserande vin,11.00%,750,Vitt Torrt,118
Pizzolato Spumante d'Italia,70,93.33,Mousserande vin,11.00%,750,Rosé,118
JP Chenet,70,93.33,Mousserande vin,11.00%,750,Rosé,118
Charles de Fère,76,101.33,Mousserande vin,12.00%,750,Rosé,118
JP Chenet,70,93.33,Mousserande vin,10.50%,750,Vitt Halvtorrt,113
Campo Viejo,76,101.33,Mousserande vin,11.50%,750,Vitt Torrt,113
Freixenet,80,106.67,Mousserande vin,12.00%,750,Vitt Halvtorrt,112
Tina Spumante,76,101.33,Mousserande vin,11.00%,750,Vitt Torrt,109
Marqués de Monistrol,80,106.67,Mousserande vin,11.50%,750,Vitt Torrt,108
Marqués de Monistrol,80,106.67,Mousserande vin,11.50%,750,Rosé,108
Codorníu,80,106.67,Mousserande vin,11.50%,750,Vitt Torrt,108
Freixenet,85,113.33,Mousserande vin,12.00%,750,Vitt Torrt,106
Platino,50,66.67,Mousserande vin,7.00%,750,Rosé,105
Boschendal,100,133.33,Mousserande vin,13.00%,750,Vitt Torrt,098
Ti Amo,90,120,Mousserande vin,11.50%,750,Vitt Torrt,096
Mionetto,86,114.67,Mousserande vin,11.00%,750,Vitt Torrt,096
Jacob's Creek,90,120,Mousserande vin,11.50%,750,Vitt Torrt,096
Henkell Trocken,45,120,Mousserande vin,11.50%,375,Vitt Torrt,096
Charles Wantz,99,132,Mousserande vin,12.50%,750,Vitt Torrt,095
Gardo & Morris,100,133.33,Mousserande vin,12.50%,750,Vitt Torrt,094
Estelado,96,128,Mousserande vin,12.00%,750,Rosé,094
Chapel Hill,27,135,Mousserande vin,12.50%,200,Vitt Torrt,093
Törley,25,125,Mousserande vin,11.50%,200,Rosé,092
Prosecco la Robínía,90,120,Mousserande vin,11.00%,750,Vitt Torrt,092
Prosecco,90,120,Mousserande vin,11.00%,750,Vitt Torrt,092
Codorníu,47,125.33,Mousserande vin,11.50%,375,Vitt Torrt,092
Castelforte,90,120,Mousserande vin,11.00%,750,Vitt Torrt,092
Casa Vinironia Prosecco,90,120,Mousserande vin,11.00%,750,Vitt Torrt,092
Privat,100,133.33,Mousserande vin,12.00%,750,Vitt Torrt,090
Patriarche,100,133.33,Mousserande vin,12.00%,750,Rosé,090
MIM Natura,100,133.33,Mousserande vin,12.00%,750,Vitt Torrt,090
LUX Royal,100,133.33,Mousserande vin,12.00%,750,Rosé,090
Freixenet,50,133.33,Mousserande vin,12.00%,375,Vitt Torrt,090
Cava Blanc de Noirs,100,133.33,Mousserande vin,12.00%,750,Vitt Torrt,090
Blason de Bourgogne,100,133.33,Mousserande vin,12.00%,750,Rosé,090
Bestheim,100,133.33,Mousserande vin,12.00%,750,Vitt Torrt,090
Chapel Hill Spumante,59,78.67,Mousserande vin,7.00%,750,Vitt Sött,089
Asti Araldica,60,80,Mousserande vin,7.00%,750,Vitt Sött,088
Charles de Fère,100,133.33,Mousserande vin,11.50%,750,Vitt Torrt,086
Ca'Montini,96,128,Mousserande vin,11.00%,750,Vitt Torrt,086
Rotari,221,147.33,Mousserande vin,12.50%,1500,Vitt Torrt,085
Rotari,221,147.33,Mousserande vin,12.50%,1500,Rosé,085
Rotari,110,146.67,Mousserande vin,12.50%,750,Vitt Torrt,085
Rotari,110,146.67,Mousserande vin,12.50%,750,Rosé,085
Gardo & Morris,110,146.67,Mousserande vin,12.50%,750,Rosé,085
P.Lex,100,133.33,Mousserande vin,11.00%,750,Vitt Torrt,083
Castelforte,50,133.33,Mousserande vin,11.00%,375,Vitt Torrt,083
Segura Viudas,55,146.67,Mousserande vin,12.00%,375,Rosé,082
Anna de Codorníu Organic,106,141.33,Mousserande vin,11.50%,750,Vitt Torrt,081
NVY,80,106.67,Mousserande vin,8.50%,750,Övrigt,080
Gancia Prosecco,54,144,Mousserande vin,11.50%,375,Vitt Torrt,080
Geisweiler,116,154.67,Mousserande vin,12.00%,750,Vitt Torrt,078
Henkell Trocken,30,150,Mousserande vin,11.50%,200,Vitt Torrt,077
Charles de Fère,30,150,Mousserande vin,11.50%,200,Vitt Torrt,077
Fresita,79,105.33,Mousserande vin,8.00%,750,Övrigt,076
Louis Bouillot,120,160,Mousserande vin,12.00%,750,Vitt Torrt,075
Louis Bouillot,120,160,Mousserande vin,12.00%,750,Rosé,075
Bacio della Luna,110,146.67,Mousserande vin,11.00%,750,Vitt Torrt,075
Pongrácz,121,161.33,Mousserande vin,12.00%,750,Vitt Torrt,074
Jacob's Creek,34,170,Mousserande vin,12.50%,200,Vitt Torrt,074
Freixenet,33,165,Mousserande vin,12.00%,200,Vitt Torrt,073
Rotari,130,173.33,Mousserande vin,12.50%,750,Vitt Torrt,072
Mia,73,97.33,Mousserande vin,7.00%,750,Vitt Sött,072
De Vergy,80,106.67,Mousserande vin,7.50%,750,Rosé,070
Asti Cinzano,76,101.33,Mousserande vin,7.00%,750,Vitt Sött,069
Langlois,140,186.67,Mousserande vin,12.50%,750,Vitt Torrt,067
Clotilde Davenne,140,186.67,Mousserande vin,12.50%,750,Vitt Torrt,067
Louis Bouillot,271,180.67,Mousserande vin,12.00%,1500,Vitt Torrt,066
Enjoy,80,106.67,Mousserande vin,7.00%,750,Övrigt,066
Asti Martini,80,106.67,Mousserande vin,7.00%,750,Vitt Sött,066
Spriz Aperitivo,70,93.33,Mousserande vin,6.00%,750,Övrigt,064
Dopff Brut Cuvée Julien,70,186.67,Mousserande vin,12.00%,375,Vitt Torrt,064
Viva by Carolina Gynning,130,173.33,Mousserande vin,11.00%,750,Vitt Torrt,063
Louis Bouillot,150,200,Mousserande vin,12.00%,750,Vitt Torrt,060
Ferrari,156,208,Mousserande vin,12.50%,750,Vitt Torrt,060
Asti Martini,46,122.67,Mousserande vin,7.00%,375,Vitt Sött,057
Asti Cinzano,47,125.33,Mousserande vin,7.00%,375,Vitt Sött,056
A Viot,176,234.67,Mousserande vin,12.00%,750,Vitt Torrt,051
Philippe De Nantheuil,180,240,Mousserande vin,12.00%,750,Vitt Torrt,050
Charles Mignon,190,253.33,Mousserande vin,12.00%,750,Vitt Torrt,047
Pannier,200,266.67,Mousserande vin,12.00%,750,Vitt Torrt,045
Massé,220,293.33,Mousserande vin,12.50%,750,Vitt Torrt,043
Jeanmaire,210,280,Mousserande vin,12.00%,750,Vitt Torrt,043
Beaumont des Crayères,210,280,Mousserande vin,12.00%,750,Vitt Torrt,043
Asti Cinzano,36,180,Mousserande vin,7.00%,200,Vitt Sött,039
Palmer & Co,260,346.67,Mousserande vin,12.00%,750,Vitt Torrt,035
Alexandre Bonnet,270,360,Mousserande vin,12.50%,750,Vitt Torrt,035
Grönstedts Champagne,280,373.33,Mousserande vin,12.50%,750,Vitt Torrt,033
Alexandre Bonnet,270,360,Mousserande vin,12.00%,750,Rosé,033
Vve Fourny & Fils,280,373.33,Mousserande vin,12.00%,750,Vitt Torrt,032
Paul Goerg,279,372,Mousserande vin,12.00%,750,Rosé,032
Massé,150,400,Mousserande vin,12.50%,375,Vitt Torrt,031
Jeanmaire,146,389.33,Mousserande vin,12.00%,375,Vitt Torrt,031
Collet,150,400,Mousserande vin,12.50%,375,Vitt Torrt,031
Beaumont des Crayères,290,386.67,Mousserande vin,12.00%,750,Vitt Torrt,031
André Clouet,290,386.67,Mousserande vin,12.00%,750,Vitt Torrt,031
Baron Fuenté,310,413.33,Mousserande vin,12.50%,750,Vitt Torrt,030
André Clouet,621,414,Mousserande vin,12.00%,1500,Vitt Torrt,029
Piper-Heidsieck,320,426.67,Mousserande vin,12.00%,750,Vitt Torrt,028
Nicolas Feuillatte,320,426.67,Mousserande vin,12.00%,750,Vitt Torrt,028
Launois,320,426.67,Mousserande vin,12.00%,750,Vitt Torrt,028
André Clouet,320,426.67,Mousserande vin,12.00%,750,Vitt Torrt,028
Tsarine,330,440,Mousserande vin,12.00%,750,Vitt Torrt,027
Tsarine,330,440,Mousserande vin,12.00%,750,Rosé,027
Pierre Peters,330,440,Mousserande vin,12.00%,750,Vitt Torrt,027
Palmer & Co,330,440,Mousserande vin,12.00%,750,Vitt Torrt,027
Palmer & Co,165,440,Mousserande vin,12.00%,375,Vitt Torrt,027
Palmer,340,453.33,Mousserande vin,12.00%,750,Vitt Torrt,026
Launois,350,466.67,Mousserande vin,12.00%,750,Vitt Torrt,026
Cuperly,340,453.33,Mousserande vin,12.00%,750,Vitt Torrt,026
Alexandre Bonnet,170,453.33,Mousserande vin,12.00%,375,Vitt Torrt,026
Alexandre Bonnet,170,453.33,Mousserande vin,12.00%,375,Rosé,026
Lanson,370,493.33,Mousserande vin,12.50%,750,Vitt Torrt,025
Diebolt-Vallois,370,493.33,Mousserande vin,12.50%,750,Vitt Torrt,025
André Clouet,180,480,Mousserande vin,12.00%,375,Vitt Torrt,025
Mumm,380,506.67,Mousserande vin,12.00%,750,Vitt Torrt,024
Heidsieck & Co Monopole,100,500,Mousserande vin,12.00%,200,Vitt Torrt,024
Taittinger,386,514.67,Mousserande vin,12.00%,750,Vitt Torrt,023
Moët & Chandon,791,527.33,Mousserande vin,12.00%,1500,Vitt Torrt,023
Moët & Chandon,390,520,Mousserande vin,12.00%,750,Vitt Torrt,023
Lanson,400,533.33,Mousserande vin,12.50%,750,Rosé,023
Deutz,399,532,Mousserande vin,12.00%,750,Vitt Torrt,023
Veuve Clicquot,410,546.67,Mousserande vin,12.00%,750,Vitt Torrt,022
Veuve Clicquot,410,546.67,Mousserande vin,12.00%,750,Vitt Halvtorrt,022
Taittinger,201,536,Mousserande vin,12.00%,375,Vitt Torrt,022
Pol Roger,811,540.67,Mousserande vin,12.00%,1500,Vitt Torrt,022
Pol Roger,410,546.67,Mousserande vin,12.00%,750,Vitt Torrt,022
Palmer & Co,831,554,Mousserande vin,12.00%,1500,Vitt Torrt,022
Palmer & Co,801,534,Mousserande vin,12.00%,1500,Vitt Torrt,022
Louis Roederer,410,546.67,Mousserande vin,12.00%,750,Vitt Torrt,022
Moët & Chandon,436,581.33,Mousserande vin,12.00%,750,Rosé,021
Louis Roederer,216,576,Mousserande vin,12.00%,375,Vitt Torrt,021
Lanson,225,600,Mousserande vin,12.50%,375,Rosé,021
Veuve Clicquot,230,613.33,Mousserande vin,12.00%,375,Vitt Torrt,020
Veuve Clicquot,230,613.33,Mousserande vin,12.00%,375,Vitt Halvtorrt,020
Pol Roger,221,589.33,Mousserande vin,12.00%,375,Vitt Torrt,020
Moët & Chandon,220,586.67,Mousserande vin,12.00%,375,Vitt Torrt,020
Bollinger,450,600,Mousserande vin,12.00%,750,Vitt Torrt,020
Taittinger,490,653.33,Mousserande vin,12.50%,750,Vitt Torrt,019
Moët & Chandon,241,642.67,Mousserande vin,12.00%,375,Rosé,019
Moët & Chandon,126,630,Mousserande vin,12.00%,200,Vitt Torrt,019
Bollinger,951,634,Mousserande vin,12.00%,1500,Vitt Torrt,019
Pol Roger,530,706.67,Mousserande vin,12.50%,750,Vitt Torrt,018
Gosset,500,666.67,Mousserande vin,12.00%,750,Rosé,018
Bollinger,250,666.67,Mousserande vin,12.00%,375,Vitt Torrt,018
Louis Roederer,560,746.67,Mousserande vin,12.00%,750,Vitt Torrt,016
Louis Roederer,560,746.67,Mousserande vin,12.00%,750,Rosé,016
Henriot,550,733.33,Mousserande vin,12.00%,750,Vitt Torrt,016
Pol Roger,620,826.67,Mousserande vin,12.50%,750,Vitt Torrt,015
Bollinger,590,786.67,Mousserande vin,12.00%,750,Rosé,015
Bollinger,950,1266.67,Mousserande vin,12.00%,750,Vitt Torrt,009
Dom Pérignon,1380,1840,Mousserande vin,12.50%,750,Vitt Torrt,007
Cuvée Sir Winston Churchill,1351,1801.33,Mousserande vin,12.50%,750,Vitt Torrt,007
Krug,1500,2000,Mousserande vin,12.00%,750,Vitt Torrt,006
